Precision,tc,m,k,n,CUBLAS GFLOPS,TSM2 GFLOPS,Speedup
Double,1000,512000,32,16,31.6832,5.68762,0.17951532673467327
Single,500,512000,32,16,71.1111,3.36046,0.047256476133824395
Double,500,512000,32,16,31.411,2.46747,0.07855432810162045
Single,250,512000,32,16,67.9045,1.27719,0.018808620930866143
Double,250,512000,32,16,32.3641,0.874616,0.027024264540030464
Single,512000,512000,32,32,135.092,113.024,0.8366446569745062
Double,512000,512000,32,32,108.245,45.0308,0.41600812970576007
Single,256000,512000,32,32,164.63,119.626,0.726635485634453
Double,256000,512000,32,32,104.277,50.6429,0.485657431648398
Single,128000,512000,32,32,130.946,111.304,0.8499992363264247
Double,128000,512000,32,32,110.345,56.202,0.5093298291721419
Single,64000,512000,32,32,134.031,106.224,0.7925330707075229
Double,64000,512000,32,32,108.475,52.459,0.48360451716985486
Single,32000,512000,32,32,130.612,104.918,0.8032799436498944
Double,32000,512000,32,32,107.113,51.3026,0.478957736222494
Single,16000,512000,32,32,135.809,106.224,0.7821572944355677
Double,16000,512000,32,32,104.065,52.4053,0.5035823763993658
Single,8000,512000,32,32,133.333,62.7451,0.4705894264735662
Double,8000,512000,32,32,106.889,31.068,0.29065666251906186
Single,4000,512000,32,32,134.031,33.2468,0.24805306235124708
Double,4000,512000,32,32,106.667,16.4895,0.15458857941068935
Single,2000,512000,32,32,132.642,16.5055,0.12443645300885091
Double,2000,512000,32,32,108.705,8.08464,0.07437229198288947
Single,1000,512000,32,32,128.321,7.78707,0.06068429953008471
Double,1000,512000,32,32,108.017,3.80528,0.035228528842682176
Single,500,512000,32,32,129.62,3.36798,0.0259834902021293
Double,500,512000,32,32,109.402,1.63887,0.014980256302444197
Single,250,512000,32,32,131.62,1.27783,0.009708478954566176
Double,250,512000,32,32,105.35,0.554875,0.005266967252017086
Single,2048000,2048000,32,16,84.6981,124.272,1.467234802197452
Double,2048000,2048000,32,16,34.3164,73.3524,2.1375319089414972
Single,1024000,2048000,32,16,84.6981,120.897,1.4273873912165682
Double,1024000,2048000,32,16,28.2171,73.4577,2.6033043792593853
Single,512000,2048000,32,16,83.3876,125.49,1.5049000091140647
Double,512000,2048000,32,16,34.2934,73.6691,2.1482005283815546
Single,256000,2048000,32,16,83.5237,125.031,1.496952362024192
Double,256000,2048000,32,16,34.1333,73.2475,2.1459249471923316
Single,128000,2048000,32,16,83.7285,121.183,1.4473327481084697
Double,128000,2048000,32,16,34.3624,70.4749,2.050930668405001
Single,64000,2048000,32,16,83.5918,112.9,1.3506109450927004
Double,64000,2048000,32,16,34.2819,64.9334,1.894101552131008
Single,32000,2048000,32,16,84.7682,112.158,1.3231140923129194
Double,32000,2048000,32,16,34.0086,66.9281,1.9679757473109742
Single,16000,2048000,32,16,83.6601,111.063,1.327550409334916
Double,16000,2048000,32,16,34.3164,67.6801,1.9722377638680046
Single,8000,2048000,32,16,83.6601,64.3216,0.7688444073100559
Double,8000,2048000,32,16,34.3509,45.6531,1.329021947023222
Single,4000,2048000,32,16,84.6981,33.6621,0.39743630612729214
Double,4000,2048000,32,16,34.3049,24.3115,0.7086888461998139
Single,2000,2048000,32,16,84.6981,16.6477,0.19655340556635864
Double,2000,2048000,32,16,34.259,12.114,0.35360051373361745
Single,1000,2048000,32,16,84.2105,7.82875,0.09296643530201104
Double,1000,2048000,32,16,34.236,5.73252,0.16744128987031195
Single,2048000,2048000,32,32,162.798,127.284,0.7818523569085616
Double,2048000,2048000,32,32,125.183,44.6966,0.35705007868480537
Single,1024000,2048000,32,32,164.234,129.867,0.7907436949718084
Double,1024000,2048000,32,32,127.601,54.774,0.4292599587777525
Single,512000,2048000,32,32,163.187,131.282,0.8044881026062125
Double,512000,2048000,32,32,125.721,65.62,0.521949395884538
Single,256000,2048000,32,32,162.154,132.214,0.8153607064888932
Double,256000,2048000,32,32,135.092,66.5151,0.492368904154206
Single,128000,2048000,32,32,161.514,127.363,0.7885570291120274
Double,128000,2048000,32,32,127.442,63.8006,0.5006245978562798
Single,64000,2048000,32,32,163.317,116.232,0.7116956593618545
Double,64000,2048000,32,32,125.876,55.9257,0.44429200165241983
Single,32000,2048000,32,32,163.317,117.837,0.7215231727254358
Double,32000,2048000,32,32,127.601,56.4187,0.44214935619626805
Single,16000,2048000,32,32,162.54,114.477,0.7043004798818753
Double,16000,2048000,32,32,124.878,56.1866,0.44993193356716155
Single,8000,2048000,32,32,159.253,65.8098,0.41324056689669897
Double,8000,2048000,32,32,128.482,31.9103,0.248363973163556
Single,4000,2048000,32,32,160.88,33.9073,0.21076143709597214
Double,4000,2048000,32,32,126.654,16.6518,0.13147472642001043
Single,2000,2048000,32,32,161.897,16.7075,0.1031983298022817
Double,2000,2048000,32,32,126.811,8.1467,0.06424284959506667
Single,1000,2048000,32,32,161.897,7.84134,0.048434127871424426
Double,1000,2048000,32,32,127.92,3.81733,0.02984154158849281
Single,20480000,20480000,32,16,89.8246,134.737,1.5000011132807716
Double,20480000,20480000,32,16,35.0301,76.4236,2.181655205095047
Single,10240000,20480000,32,16,89.6908,139.586,1.5563023186324576
Double,10240000,20480000,32,16,34.9906,76.9,2.19773310546261
Single,5120000,20480000,32,16,89.6202,141.378,1.5775238171751458
Double,5120000,20480000,32,16,34.9381,76.6811,2.194770179259891
